EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;UNDERPASS_TYPE;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
952;1509823514;37.860;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190611;20210804133425;554113
953;1509823515;38.735;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190611;20210804133425;554129
6332465;1500657184;179.029;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190837;20210731081808;497105
7925;4070314;61.854;Road;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160620190811;20250129211552;615873
6535;1500659524;474.989;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160915134712;20210731081808;497137
6570;1500437550;395.978;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190834;20210731081808;497169
6586;1500540773;44.080;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497185
6600;1500444732;86.979;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497201
6606;1500647338;364.038;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160712154425;20210731081808;497217
6426;4317478;679.309;Road;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160620190759;20250129211552;615889
6607;1500429411;990.055;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497233
6621;1500312139;144.309;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497249
6624;1500352616;757.829;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497265
6638;1500700221;65.032;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190804;20210731081808;497281
6662;1500546486;127.016;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497297
6681;1500718515;634.965;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497313
6685;1500363568;216.464;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497329
6717;4057400;528.145;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;497345
8228;4070314;4.707;Road;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20160620190731;20250129211552;615905
6746;1500523073;229.491;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497377
6767;5598520;42.870;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497393
6793;6040646;1573.076;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20170607124517;20210731081808;497441
6795;6040648;1581.370;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20170607124402;20210731081808;497457
6798;1500412159;90.512;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497473
6825;1500649145;129.037;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497489
6827;5598520;28.330;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;497505
6831;1500460305;32.224;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497521
6881;1500397300;72.270;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190805;20210731081808;497537
6892;1500455124;19.723;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190806;20210731081808;497553
