EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;FROM_MEASURE;TO_MEASURE;ROUTE_NAME_ENGLISH;ROUTE_NAME_FRENCH;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
6008810;1507657570;0.000;822.708;Talbot Trail;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20140626153716;20210915152450;302480
7556564;7556553;0.000;7.298;Talbot Trail;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20201120085135;20210915152450;302481
4162031;1500504946;0.000;1958.423;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110331140317;20210731081808;293351
4162033;1500595518;0.000;475.433;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20190801104220;20210731081808;293352
4162041;1510304161;0.000;2716.236;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111005104700;20210731081808;293353
4162070;1508110563;0.000;156.062;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111004110024;20210731081808;293356
4162077;1500472901;0.000;92.270;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20171018121347;20210731081808;293357
4162083;1508110347;0.000;245.724;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111004121459;20210731081808;293358
4162104;1500546633;0.000;4168.491;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111004141417;20210731081808;293360
4162116;1508110423;0.000;138.845;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121109133354;20210731081808;293362
4162124;3899251;0.000;100.930;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110331140807;20210731081808;293365
4162125;1500332662;0.000;1049.902;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20171018121346;20210731081808;293366
4162160;1500372660;0.000;468.624;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20171023123616;20210731081808;293369
4162161;1500665080;0.000;150.258;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111004115019;20210731081808;293370
4162178;1500669464;0.000;5106.802;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20120911101710;20210731081808;293372
4162200;1500396464;0.000;1126.586;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110331141215;20210731081808;293375
4162210;1500552977;0.000;1617.531;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111003114001;20210731081808;293376
4162215;1510256941;0.000;1153.558;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111003120037;20210731081808;293377
4162218;1500444654;0.000;1579.799;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111003120116;20210731081808;293378
4162235;1500386108;0.000;487.030;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111003100705;20210731081808;293379
4162300;1500686627;0.000;117.137;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110331141400;20210731081808;293381
4162315;1500741703;0.000;1649.437;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111003094059;20210731081808;293382
4162327;1508115542;0.000;470.428;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111003095729;20210731081808;293383
4162337;1508115512;0.000;63.210;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20111003093715;20210731081808;293384
4162366;1500471629;0.000;1284.320;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930153320;20210731081808;293386
4162381;1508111673;0.000;2334.339;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121107153618;20210731081808;293388
4162383;1508111920;0.000;1111.930;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930165201;20210731081808;293389
4162412;1500501592;0.000;279.746;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930164652;20210731081808;293391
4162430;1500320939;0.000;1321.309;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930124037;20210731081808;293392
4162431;1500326586;0.000;1541.645;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20190222143150;20210731081808;293393
4162443;1500358909;0.000;553.508;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930123200;20210731081808;293394
4162444;1500384702;0.000;39.726;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930130452;20210731081808;293395
4162451;1500642146;0.000;366.838;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930122457;20210731081808;293396
4162461;1500526408;0.000;825.258;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20121108091230;20210731081808;293397
4162486;1500545219;0.000;3536.681;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930141217;20210731081808;293398
4162498;1500673612;0.000;705.211;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930091224;20210731081808;293399
4162528;1500507383;0.000;2116.139;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110930125034;20210731081808;293400
4162536;1500661962;0.000;304.424;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110929155506;20210731081808;293401
4162553;1508266656;0.000;3428.390;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110929155135;20210731081808;293402
4162556;4068787;0.000;476.584;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110922140150;20210731081808;293403
4162578;1500732533;0.000;857.143;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110929135915;20210731081808;293404
4162587;1508266664;0.000;3367.661;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110929145225;20210731081808;293405
4162606;1500508819;0.000;4549.202;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110928154949;20210731081808;293406
4162608;1500586163;0.000;444.470;Voyageur Route;;MINISTRY OF NATURAL RESOURCES AND FORESTRY;20110929110321;20210731081808;293407
